EMS DATA Clean,,,,
Providers Primary Impression,ILI Calls,COVID Calls,ILI Calls rolling avg,COVID call rolling avg
4/13/2020,54,3,51,3.428571429
4/14/2020,57,2,51,3.142857143
4/15/2020,49,7,50.28571429,4.142857143
4/16/2020,55,8,51.57142857,5
4/17/2020,51,10,51.85714286,5.714285714
4/18/2020,61,10,54.85714286,6.714285714
4/19/2020,51,15,54,7.857142857
4/20/2020,60,15,54.85714286,9.571428571
4/21/2020,52,18,54.14285714,11.85714286
4/22/2020,56,18,55.14285714,13.42857143
4/23/2020,74,19,57.85714286,15
4/24/2020,58,21,58.85714286,16.57142857
4/25/2020,48,11,57,16.71428571
4/26/2020,48,16,56.57142857,16.85714286
4/27/2020,55,26,55.85714286,18.42857143
4/28/2020,61,18,57.14285714,18.42857143
4/29/2020,68,30,58.85714286,20.14285714
4/30/2020,41,19,54.14285714,20.14285714
5/1/2020,67,24,55.42857143,20.57142857
5/2/2020,68,29,58.28571429,23.14285714
5/3/2020,57,22,59.57142857,24
5/4/2020,66,18,61.14285714,22.85714286
5/5/2020,58,22,60.71428571,23.42857143
5/6/2020,65,22,60.28571429,22.28571429
5/7/2020,71,27,64.57142857,23.42857143
5/8/2020,60,27,63.57142857,23.85714286
5/9/2020,53,30,61.42857143,24
5/10/2020,49,27,60.28571429,24.71428571
5/11/2020,57,20,59,25
5/12/2020,69,16,60.57142857,24.14285714
5/13/2020,72,38,61.57142857,26.42857143
5/14/2020,70,27,61.42857143,26.42857143
5/15/2020,70,35,62.85714286,27.57142857
5/16/2020,71,33,65.42857143,28
5/17/2020,54,26,66.14285714,27.85714286
5/18/2020,63,23,67,28.28571429
5/19/2020,56,29,65.14285714,30.14285714
5/20/2020,56,19,62.85714286,27.42857143
5/21/2020,74,37,63.42857143,28.85714286
5/22/2020,81,23,65,27.14285714
5/23/2020,56,35,62.85714286,27.42857143
5/24/2020,66,36,64.57142857,28.85714286
5/25/2020,60,22,64.14285714,28.71428571
5/26/2020,55,23,64,27.85714286
5/27/2020,62,29,64.85714286,29.28571429
5/28/2020,71,36,64.42857143,29.14285714
5/29/2020,45,15,59.28571429,28
5/30/2020,52,16,58.71428571,25.28571429
5/31/2020,61,25,58,23.71428571
6/1/2020,67,26,59,24.28571429
6/2/2020,52,18,58.57142857,23.57142857
6/3/2020,34,18,54.57142857,22
6/4/2020,58,14,52.71428571,18.85714286
6/5/2020,58,20,54.57142857,19.57142857
6/6/2020,33,11,51.85714286,18.85714286
6/7/2020,40,12,48.85714286,17
6/8/2020,45,11,45.71428571,14.85714286
6/9/2020,35,14,43.28571429,14.28571429
6/10/2020,51,15,45.71428571,13.85714286
6/11/2020,37,13,42.71428571,13.71428571
6/12/2020,44,15,40.71428571,13
6/13/2020,34,17,40.85714286,13.85714286
6/14/2020,31,13,39.57142857,14
6/15/2020,48,10,40,13.85714286
6/16/2020,49,12,42,13.57142857
6/17/2020,30,10,39,12.85714286
6/18/2020,43,7,39.85714286,12
6/19/2020,50,16,40.71428571,12.14285714
6/20/2020,45,17,42.28571429,12.14285714
6/21/2020,42,6,43.85714286,11.14285714
6/22/2020,41,14,42.85714286,11.71428571
6/23/2020,50,10,43,11.42857143
6/24/2020,43,13,44.85714286,11.85714286
6/25/2020,39,10,44.28571429,12.28571429
6/26/2020,51,12,44.42857143,11.71428571
6/27/2020,39,8,43.57142857,10.42857143
6/28/2020,39,10,43.14285714,11
6/29/2020,33,13,42,10.85714286
6/30/2020,38,13,40.28571429,11.28571429
7/1/2020,39,11,39.71428571,11
7/2/2020,46,10,40.71428571,11
7/3/2020,44,13,39.71428571,11.14285714
7/4/2020,38,9,39.57142857,11.28571429
7/5/2020,32,11,38.57142857,11.42857143
7/6/2020,56,15,41.85714286,11.71428571
7/7/2020,30,9,40.71428571,11.14285714
7/8/2020,44,7,41.42857143,10.57142857
7/9/2020,45,9,41.28571429,10.42857143
7/10/2020,49,14,42,10.57142857
7/11/2020,46,11,43.14285714,10.85714286
7/12/2020,41,8,44.42857143,10.42857143
7/13/2020,31,12,40.85714286,10
7/14/2020,39,14,42.14285714,10.71428571
7/15/2020,48,16,42.71428571,12
7/16/2020,48,14,43.14285714,12.71428571
7/17/2020,45,11,42.57142857,12.28571429
7/18/2020,43,13,42.14285714,12.57142857
7/19/2020,53,19,43.85714286,14.14285714
7/20/2020,47,19,46.14285714,15.14285714
7/21/2020,49,18,47.57142857,15.71428571
7/22/2020,70,25,50.71428571,17
7/23/2020,38,10,49.28571429,16.42857143
7/24/2020,46,18,49.42857143,17.42857143
7/25/2020,44,16,49.57142857,17.85714286
7/26/2020,44,12,48.28571429,16.85714286
7/27/2020,57,14,49.71428571,16.14285714
7/28/2020,49,11,49.71428571,15.14285714
7/29/2020,46,19,46.28571429,14.28571429
7/30/2020,49,23,47.85714286,16.14285714
7/31/2020,49,15,48.28571429,15.71428571
8/1/2020,41,10,47.85714286,14.85714286
8/2/2020,44,8,47.85714286,14.28571429
8/3/2020,67,23,49.28571429,15.57142857
8/4/2020,55,15,50.14285714,16.14285714
8/5/2020,45,14,50,15.42857143
8/6/2020,57,17,51.14285714,14.57142857
8/7/2020,43,15,50.28571429,14.57142857
8/8/2020,39,16,50,15.42857143
8/9/2020,67,26,53.28571429,18
8/10/2020,45,16,50.14285714,17
8/11/2020,41,15,48.14285714,17
8/12/2020,42,10,47.71428571,16.42857143
8/13/2020,48,13,46.42857143,15.85714286
8/14/2020,45,16,46.71428571,16
8/15/2020,45,16,47.57142857,16
8/16/2020,43,14,44.14285714,14.28571429
8/17/2020,55,16,45.57142857,14.28571429
